station_6,station_1,station_7,station_2,station_12,station_13,station_10,station_11,station_4,station_5,station_14,station_15,station_8,station_3,station_9
0,0,0,0,0,0.057104600958478857,0,0.028692562951489378,0.065202578854215307,0.8490002572358164,0,0,0,0,0
0,0,0,0,0,0.060511992318412429,0,0.026527478062886866,0.051690681272038477,0.8612698483466622,0,0,0,0,0
0,0,0,0,0,0.064613941181090248,0,0.023947492927169616,0.038244976034389262,0.87319358985735085,0,0,0,0,0
0,0,0,0,0,0.069812489880891088,0,0.020732668544277782,0.02529979961576137,0.8841550419590698,0,0,0,0,0
0,0,0,0,0,0.077114284856371076,0,0.016298688867986546,0.013315314661978701,0.8932717116136637,0,0,0,0,0
0.0015842811227030249,0,0,0,0,0.086700715773159451,0,0.0098845105103489567,0.0037552046466363003,0.8980752879471523,0,0,0,0,0
0.010611944302444363,0,0,0,0,0.09086693411465678,0,0.0033563351083285334,1.5211388980567698e-05,0.89514957508558979,0,0,0,0,0
0.027198702954862868,0,0,0,0,0.083656805558411027,0,6.5730281482868978e-05,0,0.88907876120524321,0,0,0,0,0
0.04686578943104959,0,0,0,0,0.068523102837432723,0,0,0,0.88461110773151774,0,0,0,0,0
0.066109858949481889,0,0,0,0,0.053530254431188147,0,0,0,0.88035988661932996,0,0,0,0,0
0.0848683147859675,0,0,0,0,0.038839506761533048,0,0,0,0.8762921784524994,0,0,0,0,0
0.1036280039698724,0,0,0,0,0.024147884764702782,0,0,0,0.87222411126542476,0,0,0,0,0
0.12238739211110719,0,0,0,0,0.0094590010052678017,0,0,0,0.86815360688362497,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.050805941101315387,0,0.034935540733104266,0.10561914336444275,0.80863937480113757,0,0,0,0,0
0,0,0,0,0,0.053382893029804201,0,0.033287119400736011,0.091974193501502668,0.82135579406795711,0,0,0,0,0
0,0,0,0,0,0.056181833898765757,0,0.031510151822150875,0.078430523956974932,0.83387749032210845,0,0,0,0,0
0,0,0,0,0,0.059276742961145164,0,0.029561802416861106,0.065021939487296385,0.84613951513469732,0,0,0,0,0
0,0,0,0,0,0.062830510793306857,0,0.027324085141638581,0.051575757353078851,0.8582696467119757,0,0,0,0,0
0,0,0,0,0,0.067089431183763842,0,0.024655739420264711,0.03820361610860664,0.87005121328736479,0,0,0,0,0
0,0,0,0,0,0.072462741166746295,0,0.021340816601249531,0.02534194763841997,0.88085449459358423,0,0,0,0,0
0,0,0,0,0,0.079953018094718234,0,0.016801589760545951,0.013444635568494324,0.88980075657624147,0,0,0,0,0
0.0015780632828762706,0,0,0,0,0.089670437200859099,0,0.010316784717073483,0.0039226078435183696,0.89451210695567274,0,0,0,0,0
0.010403789918796225,0,0,0,0,0.094113314957537428,0,0.003720466434812462,3.661997552411009e-05,0.89172580871332974,0,0,0,0,0
0.026711335327998569,0,0,0,0,0.087649858333466682,0,0.00012378549182654616,0,0.88551502084670819,0,0,0,0,0
0.04635939289663394,0,0,0,0,0.072635173628335242,0,0,0,0.8810054334750308,0,0,0,0,0
0.065611471350679573,0,0,0,0,0.057634607452740509,0,0,0,0.87675392119657991,0,0,0,0,0
0.084348968464385624,0,0,0,0,0.042952521911816727,0,0,0,0.87269850962379769,0,0,0,0,0
0.10308641562562998,0,0,0,0,0.028270424393756093,0,0,0,0.86864315998061392,0,0,0,0,0
0.12182343966612767,0,0,0,0,0.013591033953523629,0,0,0,0.86458552638034869,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
